pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.516,0.484,5,2,Fold01.Rep3
S,N,0.242,0.758,15,2,Fold01.Rep3
N,N,0.65,0.35,53,2,Fold01.Rep3
S,N,0.242,0.758,68,2,Fold01.Rep3
N,N,0.516,0.484,69,2,Fold01.Rep3
N,N,0.96,0.04,70,2,Fold01.Rep3
S,N,0.242,0.758,81,2,Fold01.Rep3
N,N,0.998,0.002,86,2,Fold01.Rep3
S,N,0.262,0.738,87,2,Fold01.Rep3
N,N,0.71,0.29,95,2,Fold01.Rep3
S,N,0.274,0.726,106,2,Fold01.Rep3
N,S,0.998,0.002,115,2,Fold01.Rep3
N,S,0.852,0.148,123,2,Fold01.Rep3
N,S,0.65,0.35,138,2,Fold01.Rep3
N,S,0.834,0.166,143,2,Fold01.Rep3
N,S,0.718,0.282,147,2,Fold01.Rep3
N,S,0.688,0.312,175,2,Fold01.Rep3
N,S,0.834,0.166,176,2,Fold01.Rep3
N,S,0.516,0.484,180,2,Fold01.Rep3
N,S,0.65,0.35,192,2,Fold01.Rep3
S,S,0.242,0.758,203,2,Fold01.Rep3
S,N,0.422,0.578,2,2,Fold02.Rep3
S,N,0.36,0.64,3,2,Fold02.Rep3
N,N,0.94,0.06,4,2,Fold02.Rep3
S,N,0.322,0.678,7,2,Fold02.Rep3
N,N,0.884,0.116,9,2,Fold02.Rep3
N,N,0.94,0.06,35,2,Fold02.Rep3
N,N,0.526,0.474,42,2,Fold02.Rep3
S,N,0.322,0.678,48,2,Fold02.Rep3
S,N,0.472,0.528,63,2,Fold02.Rep3
S,N,0.058,0.942,67,2,Fold02.Rep3
S,N,0.028,0.972,91,2,Fold02.Rep3
N,S,0.94,0.06,112,2,Fold02.Rep3
N,S,0.706,0.294,142,2,Fold02.Rep3
S,S,0.422,0.578,146,2,Fold02.Rep3
S,S,0.058,0.942,154,2,Fold02.Rep3
S,S,0.322,0.678,157,2,Fold02.Rep3
N,S,0.978,0.022,161,2,Fold02.Rep3
S,S,0.422,0.578,162,2,Fold02.Rep3
N,S,0.884,0.116,165,2,Fold02.Rep3
N,S,0.884,0.116,166,2,Fold02.Rep3
S,S,0.058,0.942,167,2,Fold02.Rep3
N,N,0.53,0.47,14,2,Fold03.Rep3
N,N,0.7,0.3,22,2,Fold03.Rep3
N,N,0.922,0.078,29,2,Fold03.Rep3
S,N,0.406,0.594,40,2,Fold03.Rep3
N,N,0.53,0.47,45,2,Fold03.Rep3
S,N,0.348,0.652,50,2,Fold03.Rep3
N,N,0.974,0.026,60,2,Fold03.Rep3
N,N,0.944,0.056,61,2,Fold03.Rep3
N,N,0.922,0.078,72,2,Fold03.Rep3
N,N,0.922,0.078,96,2,Fold03.Rep3
N,N,0.944,0.056,100,2,Fold03.Rep3
N,S,0.676,0.324,107,2,Fold03.Rep3
S,S,0.348,0.652,124,2,Fold03.Rep3
N,S,0.922,0.078,127,2,Fold03.Rep3
N,S,0.53,0.47,130,2,Fold03.Rep3
N,S,0.548,0.452,131,2,Fold03.Rep3
N,S,0.826,0.174,141,2,Fold03.Rep3
S,S,0.38,0.62,145,2,Fold03.Rep3
S,S,0.092,0.908,187,2,Fold03.Rep3
N,S,0.676,0.324,188,2,Fold03.Rep3
N,S,0.962,0.038,204,2,Fold03.Rep3
N,N,0.512,0.488,1,2,Fold04.Rep3
N,N,0.754,0.246,19,2,Fold04.Rep3
S,N,0.046,0.954,32,2,Fold04.Rep3
S,N,0.49,0.51,39,2,Fold04.Rep3
N,N,0.754,0.246,57,2,Fold04.Rep3
S,N,0.222,0.778,66,2,Fold04.Rep3
S,N,0.222,0.778,78,2,Fold04.Rep3
N,N,0.956,0.044,82,2,Fold04.Rep3
N,N,0.71,0.29,84,2,Fold04.Rep3
S,N,0.252,0.748,97,2,Fold04.Rep3
N,S,0.976,0.024,119,2,Fold04.Rep3
N,S,0.71,0.29,122,2,Fold04.Rep3
N,S,0.566,0.434,137,2,Fold04.Rep3
N,S,0.71,0.29,140,2,Fold04.Rep3
S,S,0.046,0.954,148,2,Fold04.Rep3
N,S,0.566,0.434,174,2,Fold04.Rep3
N,S,0.906,0.094,183,2,Fold04.Rep3
S,S,0.33,0.67,189,2,Fold04.Rep3
N,S,0.906,0.094,190,2,Fold04.Rep3
N,S,0.71,0.29,194,2,Fold04.Rep3
N,N,0.936,0.064,6,2,Fold05.Rep3
S,N,0.296,0.704,30,2,Fold05.Rep3
N,N,0.936,0.064,38,2,Fold05.Rep3
N,N,0.78,0.22,43,2,Fold05.Rep3
N,N,0.57,0.43,46,2,Fold05.Rep3
S,N,0.334,0.666,47,2,Fold05.Rep3
N,N,0.698,0.302,49,2,Fold05.Rep3
S,N,0.406,0.594,59,2,Fold05.Rep3
N,N,0.928,0.072,93,2,Fold05.Rep3
S,N,0.296,0.704,99,2,Fold05.Rep3
S,S,0.37,0.63,108,2,Fold05.Rep3
N,S,0.74,0.26,118,2,Fold05.Rep3
N,S,0.78,0.22,126,2,Fold05.Rep3
N,S,0.78,0.22,129,2,Fold05.Rep3
N,S,0.78,0.22,144,2,Fold05.Rep3
S,S,0.406,0.594,150,2,Fold05.Rep3
S,S,0.478,0.522,152,2,Fold05.Rep3
N,S,0.882,0.118,155,2,Fold05.Rep3
S,S,0.478,0.522,185,2,Fold05.Rep3
N,S,0.57,0.43,191,2,Fold05.Rep3
S,N,0.33,0.67,8,2,Fold06.Rep3
N,N,0.728,0.272,10,2,Fold06.Rep3
N,N,0.864,0.136,24,2,Fold06.Rep3
S,N,0.064,0.936,28,2,Fold06.Rep3
N,N,0.864,0.136,41,2,Fold06.Rep3
S,N,0.234,0.766,55,2,Fold06.Rep3
S,N,0.064,0.936,65,2,Fold06.Rep3
S,N,0.234,0.766,76,2,Fold06.Rep3
S,N,0.196,0.804,79,2,Fold06.Rep3
S,N,0.302,0.698,80,2,Fold06.Rep3
N,N,0.728,0.272,105,2,Fold06.Rep3
N,S,0.728,0.272,109,2,Fold06.Rep3
S,S,0.224,0.776,114,2,Fold06.Rep3
N,S,0.628,0.372,139,2,Fold06.Rep3
S,S,0.224,0.776,164,2,Fold06.Rep3
N,S,0.508,0.492,172,2,Fold06.Rep3
S,S,0.224,0.776,179,2,Fold06.Rep3
N,S,0.628,0.372,184,2,Fold06.Rep3
S,S,0.064,0.936,186,2,Fold06.Rep3
N,S,0.652,0.348,195,2,Fold06.Rep3
S,S,0.064,0.936,200,2,Fold06.Rep3
